f1-score,gamma,c,d
0.10617503586800574,100.0,0.010000000000000002,2.0
0.10666158245948523,0.10000000000000003,0.010000000000000002,2.0
0.1068,0.9999999999999998,0.010000000000000002,2.0
0.10686910994764397,0.9999999999999998,0.9999999999999998,2.0
0.10721367521367521,100.0,0.9999999999999998,2.0
0.10728239202657808,0.010000000000000002,0.001,2.0
0.10741963015647225,0.010000000000000002,0.010000000000000002,2.0
0.10748815165876777,0.001,0.001,2.0
0.10762500000000001,0.10000000000000003,0.10000000000000003,2.0
0.10762500000000001,10.000000000000005,0.010000000000000002,2.0
0.10769332702318979,10.000000000000005,0.10000000000000003,2.0
0.10782978723404255,10.000000000000005,0.001,2.0
0.10816981132075472,0.9999999999999998,0.10000000000000003,2.0
0.10830537229029218,0.10000000000000003,0.001,2.0
0.10837305699481867,0.001,0.010000000000000002,2.0
0.10837305699481867,0.9999999999999998,0.001,2.0
0.10844067796610168,100.0,0.001,2.0
0.10864315937940762,10.000000000000005,0.9999999999999998,2.0
0.10904641350210971,100.0,0.10000000000000003,2.0
0.2166315476670199,0.001,0.10000000000000003,2.0
0.23270135405879658,0.001,0.9999999999999998,2.0
0.23295877506761073,0.010000000000000002,0.10000000000000003,2.0
0.24008775910560184,0.001,10.000000000000005,2.0
0.24221932207843838,0.010000000000000002,0.9999999999999998,2.0
0.24882898835160402,10.000000000000005,10.000000000000005,2.0
0.25398530841704636,10.000000000000005,100.0,2.0
0.25721645379261643,0.9999999999999998,10.000000000000005,2.0
0.25877801008696905,100.0,10.000000000000005,2.0
0.26263394796937495,100.0,100.0,2.0
0.2697449647493276,0.9999999999999998,100.0,2.0
0.3540158190967073,0.10000000000000003,0.9999999999999998,2.0
0.4143720534776573,0.001,100.0,2.0
0.42984871644346784,0.010000000000000002,10.000000000000005,2.0
0.4407016788280553,0.10000000000000003,10.000000000000005,2.0
0.48517366556502817,0.10000000000000003,100.0,2.0
0.5048203602934594,0.010000000000000002,100.0,2.0
